ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote,DisposiciÃ³n
1409621894,morelos,se,https://departamento.metroscubicos.com/MLM-1409621894-se-vende-pent-house-en-scala-santa-fe-excelente-precio-_JM,"$6,990,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,120 m²,120 m²,5,2,2,2,,,,17 años,,,,,,,,,,,,,,,,,,,
1405369868,morelos,departamento,https://departamento.metroscubicos.com/MLM-1405369868-departamento-en-venta-en-bosques-de-las-lomas-_JM,"$19,100,000",Cuajimalpa De Morelos,Lomas Del Chamizal,320 m²,320 m²,7,3,3,3,,,,10 años,,,,,,,,,,,,,,,,,,,
1405037349,morelos,departamento,https://departamento.metroscubicos.com/MLM-1405037349-departamento-terraza-con-jacuzzi-privado-vista-a-la-alberc-_JM,"$5,155,760",Puerto Morelos,Puerto Morelos,77 m²,77 m²,3,1,1,,,,,0 años,,,,,,,,,,,,,,,,,,,
1405099240,morelos,departamento,https://departamento.metroscubicos.com/MLM-1405099240-departamento-de-1-recamara-frente-al-mar-con-amenidades-de-h-_JM,"$7,980,000",Cancún/Benito Juárez,Puerto Morelos,79 m²,79 m²,2,1,1,,,,,2 años,,,,,,,,,,,,,,,,,,,
1401150334,morelos,departamento,https://departamento.metroscubicos.com/MLM-1401150334-departamento-en-venta-en-lomas-de-chamizal-ff-22-4388-1-_JM,"$6,800,082",Cuajimalpa De Morelos,Lomas Del Chamizal,151 m²,151 m²,,3,4,2,,,,14 años,,,,,,,,,,,,,,,,,,,
1399654688,morelos,departamento,https://departamento.metroscubicos.com/MLM-1399654688-departamento-hermoso-en-santa-fe-_JM,"$15,500,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,238 m²,238 m²,7,3,3,3,,,,2012 años,,,,,,,,,,,,,,,,,,,
1396995502,morelos,departamento,https://departamento.metroscubicos.com/MLM-1396995502-departamento-en-venta-en-bosques-de-las-lomas-_JM,"$18,000,000",Cuajimalpa De Morelos,Bosques de las Lomas,298 m²,298 m²,7,3,3,4,,,,0 años,,,,,,,,,,,,,,,,,,,
1393666120,morelos,departamento,https://departamento.metroscubicos.com/MLM-1393666120-departamento-en-venta-en-cuajimalpa-ff-21-445-1-_JM,"$5,150,082",Distrito Federal,Cuajimalpa De Morelos,133 m²,133 m²,,2,3,2,,,,16 años,,,,,,,,,,,,,,,,,,,
1393231713,morelos,departamento,https://departamento.metroscubicos.com/MLM-1393231713-departamento-en-venta-presidencial-solarium-cuajimalpa-de-m-_JM,"U$S750,000",Cuajimalpa De Morelos,Bosques de las Lomas,325 m²,325 m²,7,3,3,4,,,,21 años,,,,,,,,,,,,,,,,,,,
1393151263,morelos,departamento,https://departamento.metroscubicos.com/MLM-1393151263-departamento-bosques-de-las-lomas-_JM,"$13,800,000",Cuajimalpa De Morelos,Bosques de las Lomas,267 m²,267 m²,6,3,3,4,,,,30 años,6000 MXN,,,,1,,,,,,,,,,,,,,
