ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n,Baños por piso,Número de oficinas,Oficinas por piso,Admite mascotas,Tipo de bodega,Altura,Plataformas para trailers,Soporte de piso,Huéspedes,Camas,Estadía mínima (noches),Horario check in,Horario check out,NÃºmero de oficinas
1424122977,querétaro,departamentos,https://casa.metroscubicos.com/MLM-1424122977-departamentos-en-venta-con-un-doble-filtro-de-seguridad-y-con-todo-el-confort-que-tanto-mereces-_JM,"$2,380,000",Querétaro,La Vista Residencial,117 m²,108 m²,,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423393439,querétaro,casa,https://casa.metroscubicos.com/MLM-1423393439-casa-nueva-en-venta-en-canadas-del-arroyo-_JM,"$3,200,000",Corregidora,Arroyo Hondo,165 mÂ²,210 mÂ²,7,,,3,,,,4,3,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425994087,querétaro,casa,https://casa.metroscubicos.com/MLM-1425994087-casa-venta-privada-centrica-capital-sur-queretaro-_JM,"$2,500,000",QuerÃ©taro,San Isidro Juriquilla,115 mÂ²,155 mÂ²,7,,,3,,,,3,2,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425750678,querétaro,vista,https://casa.metroscubicos.com/MLM-1425750678-vista-garantizada-zibata-_JM,"$4,800,000",El Marqués,Zibata,190 m²,282 m²,8,3,4,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425986794,querétaro,casa,https://casa.metroscubicos.com/MLM-1425986794-casa-en-venta-en-fraccionamiento-villas-el-robles-corregidora-_JM,"$2,500,000",Corregidora,Corregidora,160 m²,135 m²,,3,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424616444,querétaro,residencia,https://casa.metroscubicos.com/MLM-1424616444-residencia-una-planta-jurica-_JM,"$23,000,000",Querétaro,Jurica,2220 m²,428 m²,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424092494,querétaro,casas,https://casa.metroscubicos.com/MLM-1424092494-casas-en-venta-en-zakia-en-un-condominio-cerrado-con-amenidades-_JM,"$2,495,802",El Marqués,Zákia,105 m²,118 m²,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422795176,querétaro,hermosa,https://casa.metroscubicos.com/MLM-1422795176-hermosa-casa-en-fracc-jurica-campestre-queretaro-escritu-_JM,"$12,524,765",QuerÃ©taro,Juriquilla,2355 mÂ²,720 mÂ²,8,,,6,,,,4,3,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423451617,querétaro,venta,https://casa.metroscubicos.com/MLM-1423451617-venta-casa-en-traventino-residencial-_JM,"$2,500,000",Querétaro,Residencial El Refugio,110 m²,132 m²,6,3,2,2,,3 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426036431,querétaro,casa,https://casa.metroscubicos.com/MLM-1426036431-casa-venta-centrica-fraccionamiento-milenio-iii-jardin-ampli-_JM,"$4,600,000",QuerÃ©taro,Milenio III,220 mÂ²,330 mÂ²,9,,,4,,,,4,4,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425980724,querétaro,casa,https://casa.metroscubicos.com/MLM-1425980724-casa-en-venta-en-la-toscana-queretaro-_JM,"$2,620,000",Querétaro,La Toscana,167 m²,187 m²,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425324157,querétaro,casa,https://casa.metroscubicos.com/MLM-1425324157-casa-punta-san-carlos-dos-plantas-cochera-techada-_JM,"$2,100,000",Querétaro,Punta De San Carlos,96 m²,113 m²,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425311041,querétaro,casas,https://casa.metroscubicos.com/MLM-1425311041-casas-en-venta-en-zakia-en-condominio-cerrado-con-las-mejores-amenidades-_JM,"$2,434,756",El Marqués,Zákia,105 m²,111 m²,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425335774,querétaro,casa,https://casa.metroscubicos.com/MLM-1425335774-casa-en-preventa-con-jacuzzi-y-250m2-de-jardin-altozano-_JM,"$15,050,000",QuerÃ©taro,QuerÃ©taro,565 mÂ²,475 mÂ²,,,,4,,,,4,5,,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424081482,querétaro,casa,https://casa.metroscubicos.com/MLM-1424081482-casa-en-venta-con-amplios-espacios-de-3-recamaras-en-la-vista-residencial-_JM,"$3,199,000",Querétaro,La Vista Residencial,145 m²,151 m²,,3,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424075687,querétaro,casa,https://casa.metroscubicos.com/MLM-1424075687-casa-en-venta-con-roof-garden-en-exlcusivo-residencial-cerca-de-plaza-paseo-queretaro-_JM,"$3,859,000",Querétaro,La Vista Residencial,145 m²,197 m²,,3,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424110782,querétaro,casa,https://casa.metroscubicos.com/MLM-1424110782-casa-en-venta-con-roof-garden-en-queretaro-dentro-de-condominio-vigilado-y-cerrado-_JM,"$2,850,000",Querétaro,Fray Junípero Serra,135 m²,182 m²,,3,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424035761,querétaro,casa,https://casa.metroscubicos.com/MLM-1424035761-casa-en-venta-con-roof-garden-y-un-excelente-diseno-de-vanguardia-en-condominio-cerrado-con-doble-filtro-de-seguridad-_JM,"$2,490,000",QuerÃ©taro,QuerÃ©taro,117 mÂ²,158 mÂ²,,,,,,,,3,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
