ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Tipo de departamento,Disposición del lote
922367193,baja-california,departamento,https://departamento.metroscubicos.com/MLM-922367193-departamento-en-venta-real-de-la-frontera-_JM,"$394,000",Tijuana,Real De La Frontera,,51 mÂ²,,,,,,,,,,2,1,0 aÃ±os,,,,,,,,,,,,,,
922364109,baja-california,departamento,https://departamento.metroscubicos.com/MLM-922364109-departamento-en-venta-real-de-la-frontera-_JM,"$415,000",Tijuana,Real De La Frontera,,51 mÂ²,,,,,,,,,,2,1,0 aÃ±os,,,,,,,,,,,,,,
1416207777,baja-california,departamentos,https://departamento.metroscubicos.com/MLM-1416207777-departamentos-en-venta-_JM,"U$S129,000",Los Cabos,Los Cangrejos,60 mÂ²,58 mÂ²,,,,1,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1401463887,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1401463887-departamento-en-venta-en-buena-vista-tijuana-baja-california-_JM,"U$S185,150",Tijuana,Buenavista,,99 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1401127335,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1401127335-departamento-en-venta-pueblo-bonito-sunset-_JM,"$3,700,000",Los Cabos,Colonia Pablo L Martinez,,100 mÂ²,,,,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,
1420139821,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1420139821-departamento-en-venta-lazaro-cardenas-3ra-mesa-_JM,"U$S241,101",Tijuana,Lázaro Cárdenas 3ra Mesa,,120 m²,,3,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1396913709,baja-california,mp,https://departamento.metroscubicos.com/MLM-1396913709-mp-casa-venta-recuperacion-bancaria-laderas-del-martijuana-baja-california-_JM,"$708,000",Tijuana,Laderas Del Mar,62 m²,62 m²,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
944530715,baja-california,venta,https://departamento.metroscubicos.com/MLM-944530715-venta-de-departamento-amueblado-en-zona-centro-tijuana-bc-_JM,"U$S247,800",Tijuana,Tijuana Centro,76 m²,76 m²,,1,2,1,,,,0 años,,,,,,,,,,,,,,,,,,
1384417570,baja-california,departamento,https://departamento.metroscubicos.com/MLM-1384417570-departamento-en-venta-fracc-villa-fontana-_JM,"$394,200",Tijuana,Villa Fontana I,,80 m²,,2,1,,,,,0 años,,,,,,,,,,,,,,,,,,
944476259,baja-california,venta,https://departamento.metroscubicos.com/MLM-944476259-venta-de-departamento-amueblado-en-zona-centro-tijuana-bc-_JM,"U$S225,700",Tijuana,Zona Centro,67 m²,67 m²,,1,2,1,,,,0 años,,,,,,,,,,,,,,,,,,
