ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno
932308315,campeche,casa,https://casa.metroscubicos.com/MLM-932308315-casa-en-venta-en-col-santa-margarita-_JM,"$10,000,000",Carmen,Santa Margarita,400 m²,,4,4,5,,,,440 m²,,,,,,,,,,,,,,
932232210,campeche,casa,https://casa.metroscubicos.com/MLM-932232210-casa-en-fracc-mediterraneo-_JM,"$1,600,000",Carmen,Fraccionamiento Mediterráneo,200 m²,,3,3,1,2,,,250 m²,,,,,,,,,,,,,,
926197452,campeche,en,https://casa.metroscubicos.com/MLM-926197452-en-venta-reforma-ciudad-del-carmen-_JM,"$2,500,000",Carmen,Fraccionamiento Reforma II Sección,185.75 m²,,3,3,2,2,0 años,,162 m²,,,,,,,,,,,,,,
1349831660,campeche,casa,https://casa.metroscubicos.com/MLM-1349831660-casa-en-venta-campeche-valle-ceylan-tlalnepantla-_JM,"$2,215,319",Tlalnepantla de Baz,Valle Ceylan,200 m²,,3,2,1,,,,233 m²,,,,,,,,,,,,,,
1310381524,campeche,casa,https://casa.metroscubicos.com/MLM-1310381524-casa-en-venta-en-ciudad-del-carmen-campeche-vcr-_JM,"$2,640,928",Carmen,Bivalbo,246 m²,,3,2,1,2,,,202 m²,,,,,1,,,,,,,,,
932342476,campeche,casa,https://casa.metroscubicos.com/MLM-932342476-casa-en-venta-en-maderas-_JM,"$3,500,000",Carmen,Maderas,300 m²,,3,2,2,2,,,350 m²,,,,,1,,,,,,,,,
1374215830,campeche,casa,https://casa.metroscubicos.com/MLM-1374215830-casa-en-venta-en-privada-68-del-carmen-lomas-de-holche-campeche-rb-_JM,"$1,052,500",Carmen,Lomas De Holche,120 m²,,3,2,2,,,,120 m²,,,,,,,,,,,,,,
1346328523,campeche,casa,https://casa.metroscubicos.com/MLM-1346328523-casa-ubicada-en-ejido-san-baltazar-puebla-puebla-_JM,"$2,303,560",Puebla,San Baltasar Campeche,195 m²,,4,3,2,,,,400 m²,,,,,,,,,,,,,,
1374228837,campeche,casa,https://casa.metroscubicos.com/MLM-1374228837-casa-en-venta-en-andador-31-del-carmen-camaroneros-campeche-rb-_JM,"$1,135,000",Carmen,Fraccionamiento Camaroneros,120 m²,,3,2,2,,,,120 m²,,,,,,,,,,,,,,
1364413115,campeche,la,https://casa.metroscubicos.com/MLM-1364413115-la-casa-en-barrio-san-jose-campeche-campeche-_JM,"$2,937,000",Campeche,San José,90 m²,,2,1,1,,,0 MXN,90 m²,,,,,,,,,,,,,,
