ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
872623402,michoacán,casa,https://casa.metroscubicos.com/MLM-872623402-casa-en-lomas-de-la-maestranza-en-calle-privada-_JM,"$600,000",Morelia,Lomas de La Maestranza,75 mÂ²,90 mÂ²,,,,1,,,,,,2,2,,,,,,,,,,,,,,,
1388944805,michoacán,casa,https://casa.metroscubicos.com/MLM-1388944805-casa-sola-en-venta-chapultepec-sur-_JM,"$2,600,000",Morelia,Chapultepec Sur,128 m²,180 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1353807042,michoacán,casa,https://casa.metroscubicos.com/MLM-1353807042-casa-sola-en-venta-molino-de-parras-_JM,"$3,000,000",Morelia,Molino De Parras,180 m²,243 m²,,5,3,,,,,22 años,,,,,,,,,,,,,,,,,,
1335741892,michoacán,casa,https://casa.metroscubicos.com/MLM-1335741892-casa-sola-en-venta-jardines-de-torremolinos-_JM,"$3,850,000",Morelia,Jardines De Torremolinos,200 m²,220 m²,,4,5,,,,,1 años,,,,,,,,,,,,,,,,,,
1335780211,michoacán,casa,https://casa.metroscubicos.com/MLM-1335780211-casa-sola-en-venta-altozano-club-de-golf-_JM,"$6,999,999",MichoacÃ¡n,Morelia,350 mÂ²,450 mÂ²,,,,,,,,,,3,5,2 aÃ±os,,,,,,,,,,,,,,
1335748155,michoacán,casa,https://casa.metroscubicos.com/MLM-1335748155-casa-sola-en-venta-paraiso-del-lago-_JM,"$1,400,000",Michoacán,Morelia,140 m²,130 m²,,3,2,,,,,3 años,,,,,,,,,,,,,,,,,,
1335827894,michoacán,casa,https://casa.metroscubicos.com/MLM-1335827894-casa-sola-en-venta-felix-ireta-_JM,"$2,600,000",Morelia,Félix Ireta,160 m²,160 m²,,4,3,,,,,2 años,,,,,,,,,,,,,,,,,,
1411529979,michoacán,casa,https://casa.metroscubicos.com/MLM-1411529979-casa-en-venta-en-altozano-morelia-_JM,"$4,200,000",Morelia,Altozano,152 mÂ²,190 mÂ²,8,,,2,,,,,,4,3,0 aÃ±os,,,,,,,,,,,,,,
1403500805,michoacán,casa,https://casa.metroscubicos.com/MLM-1403500805-casa-en-venta-tres-marias-_JM,"$5,200,000",Morelia,Tres MarÃ­as,172 mÂ²,290 mÂ²,7,,,2,,,,,,3,3,0 aÃ±os,,,,,,,,,,,,,,
1398602695,michoacán,casa,https://casa.metroscubicos.com/MLM-1398602695-casa-en-venta-altozano-cisnes-morelia-_JM,"$4,450,000",Morelia,Altozano,160 m²,260 m²,8,3,4,2,,,,0 años,,,,,,,,,,,,,,,,,,
868481764,michoacán,casa,https://casa.metroscubicos.com/MLM-868481764-casa-en-venta-en-chapultepec-oriente-morelia-_JM,"$5,950,000",Morelia,Chapultepec Oriente,240 m²,300 m²,6,3,3,2,,,,0 años,,,,,,,,,,,,,,,,,,
1415674450,michoacán,casa,https://casa.metroscubicos.com/MLM-1415674450-casa-sola-en-venta-club-altozano-_JM,"$3,850,000",Morelia,Club Campestre,180 m²,280 m²,,4,5,,,,,2 años,,,,,,,,,,,,,,,,,,
1393591591,michoacán,casa,https://casa.metroscubicos.com/MLM-1393591591-casa-sola-en-venta-insurgentes-de-valladolid-_JM,"$1,600,000",Morelia,Insurgentes de Valladolid,90 m²,63 m²,,3,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1383371359,michoacán,casa,https://casa.metroscubicos.com/MLM-1383371359-casa-sola-en-venta-chapultepec-sur-_JM,"$3,700,000",Morelia,Chapultepec Sur,162 m²,225 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1335754583,michoacán,casa,https://casa.metroscubicos.com/MLM-1335754583-casa-sola-en-venta-lartesi-_JM,"$2,450,000",Morelia,Salvador Iriarte Montes,140 mÂ²,150 mÂ²,,,,,,,,,,4,3,1 aÃ±os,,,,,,,,,,,,,,
1335780177,michoacán,casa,https://casa.metroscubicos.com/MLM-1335780177-casa-sola-en-venta-camelinas-_JM,"$4,500,000",Morelia,Camelinas,300 m²,600 m²,,4,5,,,,,12 años,,,,,,,,,,,,,,,,,,
1315693796,michoacán,casa,https://casa.metroscubicos.com/MLM-1315693796-casa-en-venta-en-el-centro-historico-morelia-_JM,"$6,000,000",Morelia,Centro Histórico,322 m²,322 m²,7,3,4,,,,,0 años,,,,,,,,,,,,,,,,,,
1395293400,michoacán,casa,https://casa.metroscubicos.com/MLM-1395293400-casa-en-venta-fraccionamiento-privado-patzcuaro-muy-buena-ubicacion-_JM,"$2,250,000",Michoacán,Pátzcuaro,90 m²,200 m²,,3,1,,,,,0 años,,,,,,,,,,,,,,,,,,
1386663295,michoacán,casa,https://casa.metroscubicos.com/MLM-1386663295-casa-en-fracc-mision-del-valle-morelia-michoacan-barata-jtp-_JM,"$343,200",Morelia,Mision del Valle,70 mÂ²,70 mÂ²,,,,1,,,,,,2,1,10 aÃ±os,,,,,,,,,,,,,,
1326509090,michoacán,casa,https://casa.metroscubicos.com/MLM-1326509090-casa-en-venta-en-paseo-del-parque-tres-marias-morelia-_JM,"$4,000,000",Morelia,Parque Sur,230 mÂ²,320 mÂ²,8,,,,,,,,,4,4,0 aÃ±os,,,,,,,,,,,,,,
1400477275,michoacán,casa,https://casa.metroscubicos.com/MLM-1400477275-casa-sola-en-venta-villas-del-sol-_JM,"$2,800,000",Pátzcuaro,Fracc. Villas Del Sol,112 m²,224 m²,,3,2,,,,,1 años,,,,,,,,,,,,,,,,,,
1385872910,michoacán,casa,https://casa.metroscubicos.com/MLM-1385872910-casa-sola-en-venta-bosques-de-la-presa-_JM,"$10,500,000",Morelia,Bosques Tres Marías,1000 m²,650 m²,,4,6,,,,,0 años,,,,,,,,,,,,,,,,,,
1381107210,michoacán,casa,https://casa.metroscubicos.com/MLM-1381107210-casa-sola-en-venta-santa-maria-de-guido-_JM,"$8,250,000",Morelia,Santa María De Guido,519 m²,827 m²,,6,6,,,,,0 años,,,,,,,,,,,,,,,,,,
1325723479,michoacán,casa,https://casa.metroscubicos.com/MLM-1325723479-casa-sola-en-venta-fracc-mision-del-valle-_JM,"$520,000",Morelia,Mision del Valle,96 mÂ²,72 mÂ²,,,,,,,,,,2,1,0 aÃ±os,,,,,,,,,,,,,,
1385521082,michoacán,casa,https://casa.metroscubicos.com/MLM-1385521082-casa-sola-en-venta-valle-del-paraiso-_JM,"$11,000,000",Morelia,Hacienda Del Valle,1121 m²,600 m²,,5,8,,,,,0 años,,,,,,,,,,,,,,,,,,
1363028498,michoacán,casa,https://casa.metroscubicos.com/MLM-1363028498-casa-sola-en-venta-ampliacion-club-campestre-la-huerta-_JM,"$2,530,000",Morelia,Ampliación Club Campestre La Huerta,102 m²,140 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1335804966,michoacán,casa,https://casa.metroscubicos.com/MLM-1335804966-casa-sola-en-venta-jesus-del-monte-_JM,"$2,600,000",Morelia,JesÃºs Del Monte,170 mÂ²,200 mÂ²,,,,,,,,,,3,3,4 aÃ±os,,,,,,,,,,,,,,
955754413,michoacán,casa,https://casa.metroscubicos.com/MLM-955754413-casa-sola-en-venta-fracc-el-trebol-_JM,"$880,000",Tarimbaro,El Trebol,90 mÂ²,180 mÂ²,,,,,,,,,,4,4,0 aÃ±os,,,,,,,,,,,,,,
922366577,michoacán,casa,https://casa.metroscubicos.com/MLM-922366577-casa-sola-en-venta-villas-del-sol-_JM,"$3,750,000",Pátzcuaro,Fracc. Villas Del Sol,225 m²,280 m²,,4,6,,,,,2 años,,,,,,,,,,,,,,,,,,
1407791018,michoacán,casa,https://casa.metroscubicos.com/MLM-1407791018-casa-en-venta-2-recamaras-san-lorenzo-itzicuaro-_JM,"$1,178,000",Morelia,San Lorenzo Itzicuaro,180 m²,63.2 m²,,2,1,1,1,Casa,,15 años,,,,,1,Casa sola,,,,,,,,,,,,
1360244953,michoacán,casa,https://casa.metroscubicos.com/MLM-1360244953-casa-en-venta-en-lindavista-tres-marias-morelia-_JM,"$4,800,000",Morelia,Tres Marías,245 m²,245 m²,7,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1386460020,michoacán,casa,https://casa.metroscubicos.com/MLM-1386460020-casa-en-venta-en-altozano-mision-de-la-montana-_JM,"$3,330,000",Morelia,Otra Colonia,160 m²,180 m²,6,3,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
