id,entidad,colonia,municipio,codigo_postal,tipo,m2Terreno,m2Construccion,recamaras,banos,medio_bano,Ba�os,estacionamientos,pisos,antiguedad,cuotaMantto,precioSalida,precioVenta
35890,CIUDAD DE MEXICO,LIC. EMILIO PORTES GIL PEMEX,TLALPAN,14130,DEPARTAMENTO,,110,3,2,,2,1,5,MAS DE 30,,3250000,3150000
35895,CIUDAD DE MEXICO,OLIVAR DE LOS PADRES,ALVARO OBREGON,1780,CASA,250,200,3,2,,2,,2,MAS DE 30,,3300000,3300000
35897,CIUDAD DE MEXICO,ANZURES,MIGUEL HIDALGO,11590,DEPARTAMENTO,,110,2,1,1,1.5,,6,MAS DE 30,700,4820000,3950000
35899,CIUDAD DE MEXICO,SAN RAFAEL,CUAUHTEMOC,6470,DEPARTAMENTO,,150,3,2,,2,2,4,MAS DE 30,600,4585000,3990000
35901,CIUDAD DE MEXICO,DEL CARMEN,COYOACAN,4100,CASA,175,175,5,3,1,3.5,2,3,,,9000000,7990000
35904,CIUDAD DE MEXICO,RESIDENCIAL CHIMALI,TLALPAN,14370,CASA,201,250,3,3,1,3.5,2,2,ENTRE 21 - 30 AÑOS,,7350000,7350000
35910,CIUDAD DE MEXICO,ANAHUAC I SECCION,MIGUEL HIDALGO,11320,DEPARTAMENTO,,0,2,1,,1,1,10,ENTRE 6 - 10 AÑOS,,1995000,1995000
35911,CIUDAD DE MEXICO,UNIDAD MODELO,IZTAPALAPA,9089,DEPARTAMENTO,,40,1,1,,1,,,,,850000,850000
35912,CIUDAD DE MEXICO,SANTA URSULA XITLA,TLALPAN,14420,CASA,160,260,4,1,1,1.5,2,2,MAS DE 30,,3490000,3490000
35918,CIUDAD DE MEXICO,ALIANZA POPULAR REVOLUCIONARIA,COYOACAN,4800,DEPARTAMENTO,,90,3,1,,1,1,5,MAS DE 30,NO,1800000,1800000
35919,CIUDAD DE MEXICO,CAROLA,ALVARO OBREGON,1180,DEPARTAMENTO,,58,2,1,1,1.5,1,,ENTRE 6 - 10 AÑOS,$750,2100000,2100000
35922,CIUDAD DE MEXICO,LOMAS ESTRELLA,IZTAPALAPA,9890,CASA,150,350,3,3,1,3.5,3,3,ENTRE 16 - 20 AÑOS,,4500000,4500000
35923,CIUDAD DE MEXICO,NARVARTE PONIENTE,BENITO JUAREZ,3020,DEPARTAMENTO,,58,2,1,,1,1,6,ENTRE 11 - 15 AÑOS,$950,2390000,2390000
35926,CIUDAD DE MEXICO,LOS CIPRESES,IZTAPALAPA,9810,CASA,200,244,4,3,1,3.5,2,2,MAS DE 30,,4500000,4200000
35933,CIUDAD DE MEXICO,XOCO,BENITO JUAREZ,3330,DEPARTAMENTO,,68,1,1,,1,1,11,ENTRE 0 - 5 AÑOS,,6300000,5950000
35936,CIUDAD DE MEXICO,CULHUACAN CTM SECCION VIII,COYOACAN,4909,DEPARTAMENTO,,58,2,,,0,1,4,MAS DE 30,,1400000,1400000
35937,CIUDAD DE MEXICO,Narvarte Poniente,Benito Juárez,3020,DEPARTAMENTO,,94,2,1,,1,,4,MAS DE 30,500,2600000,2600000
35941,CIUDAD DE MEXICO,TACUBA,MIGUEL HIDALGO,11410,DEPARTAMENTO,,89,2,1,,1,2,9,ENTRE 11 - 15 AÑOS,"$1,100.00",2200000,2200000
35942,CIUDAD DE MEXICO,ESCANDON II SECCION,MIGUEL HIDALGO,11800,CASA EN CONDOMINIO,40,159,2,2,1,2.5,2,,ENTRE 0 - 5 AÑOS,1500,8500000,8500000
35943,CIUDAD DE MEXICO,SANTA MARIA LA RIBERA,CUAUHTEMOC,6400,DEPARTAMENTO,,65,2,2,,2,1,5,ENTRE 0 - 5 AÑOS,"$1,000.00",2400000,2400000
35945,CIUDAD DE MEXICO,DEL VALLE NORTE,BENITO JUAREZ,3103,DEPARTAMENTO,,78,2,1,,1,1,,ENTRE 0 - 5 AÑOS,,3750000,3750000
35949,CIUDAD DE MEXICO,MIRADOR II,TLALPAN,14748,CASA,180,220,4,4,,4,,3,,,2790000,2790000
