ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1425462550,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425462550-casa-en-dream-lagoons-ciudad-apodaca-con-3-recamaras-136-m-id-67299-_JM,"$2,900,000",Nuevo León,Apodaca,112 m²,136 m²,3,3,2,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425542777,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425542777-casa-en-la-joya-privada-residencial-monterrey-con-3-recamaras-459-m-id-65352-_JM,"$11,900,000",Monterrey,La Joya Privada Residencial,366 mÂ²,459 mÂ²,3,,,3,Casa,,0 MXN,3,3,,12 aÃ±os,,,,,,,,,,,,,
1425417290,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425417290-casa-en-las-jaras-monterrey-con-4-recamaras-725-m-id-67019-_JM,"$21,000,000",Monterrey,Las Jaras,645 m²,725 m²,4,4,6,3,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425475099,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425475099-casa-en-la-estanzuela-monterrey-con-3-recamaras-300-m-id-65960-_JM,"$5,550,000",Monterrey,La Estanzuela,139 m²,300 m²,3,3,4,2,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425436629,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425436629-casa-en-villas-de-la-hacienda-monterrey-con-2-recamaras-49-m-id-75675-_JM,"$555,000",Monterrey,Villas De La Hacienda,49 m²,49 m²,2,2,1,1,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425456644,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456644-casa-en-privadas-de-lincoln-monterrey-con-3-recamaras-99-m-id-62311-_JM,"$1,999,000",Monterrey,Privadas de Lincoln,110 m²,99 m²,3,3,2,1,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425529833,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425529833-casa-en-antigua-hacienda-santa-anita-monterrey-con-5-recamaras-463-m-id-79802-_JM,"$10,500,000",Monterrey,Antigua Hacienda Santa Anita,545 m²,463 m²,5,5,5,3,Casa,12 años,1000 MXN,,,1,,,,,,,,,,,,,,
1425542779,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425542779-casa-en-la-joya-privada-residencial-monterrey-con-3-recamaras-354-m-id-65349-_JM,"$8,950,000",Monterrey,La Joya Privada Residencial,290 mÂ²,354 mÂ²,3,,,3,Casa,,0 MXN,3,4,,12 aÃ±os,,,,,,,,,,,,,
1425417543,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425417543-casa-en-colorines-3er-sector-san-pedro-garza-garcia-con-3-recamaras-3411-m-id-68451-_JM,"$12,500,000",San Pedro Garza García,Colorines 3er Sector,500 m²,3411 m²,3,3,4,,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425417281,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425417281-casa-en-granja-postal-monterrey-con-1-recamara-528-m-id-66754-_JM,"$12,550,000",Monterrey,Granja Postal,500 mÂ²,528 mÂ²,1,,,,Casa,,0 MXN,1,1,,12 aÃ±os,,,,,,,,,,,,,
1425568503,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568503-casa-en-el-encino-monterrey-con-4-recamaras-786-m-id-65223-_JM,"$27,850,000",Monterrey,El Encino,755 mÂ²,786 mÂ²,4,,,4,Casa,,0 MXN,4,5,1,12 aÃ±os,,,,,,,,,,,,,
1425555410,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425555410-casa-en-las-margaritas-monterrey-con-2-recamaras-384-m-id-64365-_JM,"$7,600,000",Monterrey,Las Margaritas,300 mÂ²,384 mÂ²,2,,,3,Casa,,0 MXN,2,3,,12 aÃ±os,,,,,,,,,,,,,
1425417291,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425417291-casa-en-rincon-de-los-encinos-monterrey-con-4-recamaras-510-m-id-66781-_JM,"$13,500,000",Monterrey,Rincón De Los Encinos,494 m²,510 m²,4,4,5,3,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
