ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,Cantidad de pisos,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1415620369,zacatecas,casa,https://casa.metroscubicos.com/MLM-1415620369-casa-nueva-fraccionamiento-con-acceso-rapido-y-centrico-de-calera-vr-_JM,"$724,500",Calera,Otra Colonia,99 m²,50 m²,,2,1,1,1 años,,Norte,0 MXN,,,,,,,,,,,,,,
1391350373,zacatecas,casa,https://casa.metroscubicos.com/MLM-1391350373-casa-sola-en-venta-zona-centro-_JM,"$2,500,000",Zacatecas,Zacatecas,137 m²,187 m²,,3,3,,0 años,,,,,,,,,,,,,,,,,
1306123236,zacatecas,casa,https://casa.metroscubicos.com/MLM-1306123236-casa-en-venta-en-zacatecas-imm-_JM,"$925,247",Guadalupe,Guadalupe,160 m²,160 m²,,3,2,2,5 años,,,,,,,,,,,,,,,,,
939024400,zacatecas,casa,https://casa.metroscubicos.com/MLM-939024400-casa-habitacion-en-zacatecas-con-posibilidad-de-amipliacion-o-desarrollo-_JM,"$1,850,000",Zacatecas,La Herradura,300 m²,260 m²,,7,2,1,20 años,,,,,,,,,,,,,,,,,
1414762749,zacatecas,casas,https://casa.metroscubicos.com/MLM-1414762749-casas-en-venta-ciudad-guadalupe-centro-_JM,"$4,100,000",Guadalupe,Guadalupe Centro,340 m²,136 m²,,,,,,,,,,,,,,,,,,,,,,
1379525518,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379525518-casa-en-venta-en-galerias-guadalupe-zacatecas-rb-_JM,"$465,717",Guadalupe,Guadalupe,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1324584443,zacatecas,casa,https://casa.metroscubicos.com/MLM-1324584443-casa-en-fracc-lomas-del-lago-zacatecas-_JM,"$1,138,500",Zacatecas,Lomas Del Lago,160 m²,166 m²,,4,2,2,,2,,,,,,,1,,,,,,,,,
1379511659,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379511659-casa-en-venta-en-privada-galeana-mina-azul-guadalupe-zacatecas-rb-_JM,"$472,533",Guadalupe,Mina Azul,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1405634180,zacatecas,residencia,https://casa.metroscubicos.com/MLM-1405634180-residencia-en-lomas-de-bernardez-acceso-por-pedro-coronel-_JM,"$10,200,000",Guadalupe,Lomas De Bernardez,538 m²,374 m²,,4,4,4,8 años,1,,,,,,,,,,,,,,,,
1323158881,zacatecas,casa,https://casa.metroscubicos.com/MLM-1323158881-casa-en-venta-zacatecas-centro-primer-cuadro-de-la-ciudad-_JM,"$2,200,000",Zacatecas,Colonial Zacatecas,240 m²,200 m²,,4,1,,,,,,,,,,,,,,,,,,,
1406021204,zacatecas,residencia,https://casa.metroscubicos.com/MLM-1406021204-residencia-con-vista-al-campo-de-golf-_JM,"$15,500,000",Guadalupe,Lomas De Bernardez,500 m²,650 m²,,3,4,5,10 años,2,,,,,,,,,,,,,,,,
1379530410,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379530410-casa-en-venta-en-vialidad-siglo-xxi-montebello-guadalupe-zacatecas-rb-_JM,"$413,842",Guadalupe,Guadalupe,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1406021238,zacatecas,residencia,https://casa.metroscubicos.com/MLM-1406021238-residencia-en-venta-lomas-de-bernardez-vista-al-cam-_JM,"$9,200,000",Guadalupe,Lomas De Bernardez,452 m²,363 m²,,4,4,4,,,,,,,,,,,,,,,,,,
1379479804,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379479804-casa-en-venta-en-eden-blanco-rinconada-del-eden-guadalupe-zacatecas-rb-_JM,"$540,765",Guadalupe,Rincón Colonial,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1406994386,zacatecas,hermosa,https://casa.metroscubicos.com/MLM-1406994386-hermosa-casa-las-margaritas-guadalupe-zac-fvc-_JM,"$486,280",Guadalupe,Margaritas,79 m²,84 m²,,2,1,1,,2,,,,,,,,,,,,,,,,
1379511565,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379511565-casa-en-venta-en-valle-verde-villas-de-guadalupe-guadalupe-zacatecas-rb-_JM,"$462,009",Guadalupe,Villas De Guadalupe,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1406182425,zacatecas,casa,https://casa.metroscubicos.com/MLM-1406182425-casa-en-bellavista-guadalupe-zacatecas-_JM,"$2,100,000",Guadalupe,Bellavista,200 m²,240 m²,,3,3,3,,2,,,,,,,,,,,,,,,,
1379511627,zacatecas,casa,https://casa.metroscubicos.com/MLM-1379511627-casa-en-venta-en-san-juan-loma-bonita-guadalupe-zacatecas-rb-_JM,"$631,833",Guadalupe,Lomas Del Convento,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1389722290,zacatecas,rb,https://casa.metroscubicos.com/MLM-1389722290-rb-casa-en-venta-en-del-castillo-villareal-guadalupe-zacatecas-_JM,"$391,992",Guadalupe,Villa Colonial,120 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,
