ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1421679944,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421679944-departamento-en-venta-en-villa-magna-_JM,"$4,000,000",San Luis Potosí,Llamaradas,,188 m²,4,3,2,,,,,,,,,,,,,,,,,,,,,,
1421731064,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421731064-departamento-en-venta-en-horizontes-residencial-_JM,"$4,500,000",San Luis Potosí,Horizontes Residencial,,100 m²,4,4,,,,,,,,,,,,,,,,,,,,,,,
1421743822,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1421743822-departamento-en-venta-en-fracc-lomas-del-pedregal-_JM,"$4,200,000",San Luis Potosí,Villas Del Pedregal,,125 m²,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1397197000,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1397197000-departamento-en-venta-jacarandas-_JM,"$1,530,000",San Luis Potosí,Jacarandas,,96 m²,3,2,,,0 años,,,,,,,,,,,,,,,,,,,,
1390398376,san-luis-potosí,venta,https://departamento.metroscubicos.com/MLM-1390398376-venta-de-departamentos-en-la-foret-en-zona-de-tequis-en-san-luis-muy-cerca-de-calle-zapata-y-pedro-moreno-_JM,"$2,012,876",San Luis Potosí,Tequisquiapan,122 m²,,2,2,,,,,,,,,,,,,,,,,,,,,,,
1393274131,san-luis-potosí,bello,https://departamento.metroscubicos.com/MLM-1393274131-bello-departamento-en-san-luis-potosi-venta-mls-22-945-_JM,"$9,935,982",Cuauhtémoc,Roma Norte,163 m²,163 m²,2,2,2,,1 años,,,,1 MXN,,,,,,,,,,,,,,,,
1393225605,san-luis-potosí,increible,https://departamento.metroscubicos.com/MLM-1393225605-increible-departamento-en-san-luis-de-potosi-venta-mls-22-932-_JM,"$9,343,315",Cuauhtémoc,Roma Norte,146 m²,146 m²,2,2,2,,1 años,,,,1 MXN,,,,,,,,,,,,,,,,
1380601053,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1380601053-departamento-en-venta-en-pozos-_JM,"$918,000",San Luis Potosí,Villa De Pozos,87 m²,87 m²,3,1,2,,0 años,4,,,,,,,,,,,,,,,,,,,
1414708936,san-luis-potosí,venta,https://departamento.metroscubicos.com/MLM-1414708936-venta-de-departamento-en-lomas-de-los-filtros-en-san-luis-potosi-ultimos-departamentos--_JM,"$2,350,672",San Luis Potosí,Lomas De Los Filtros,159 m²,159 m²,3,2,,,,,,3,,,,,,,,,,,,,,,,,
1413334153,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1413334153-departamento-en-venta-balcones-del-valle-_JM,"$1,840,000",San Luis Potosí,Balcones Del Valle,,116 m²,3,3,,,1 años,,,,,,,,,,,,,,,,,,,,
1404793686,san-luis-potosí,departamento,https://departamento.metroscubicos.com/MLM-1404793686-departamento-en-venta-fuerteventura-residencial-_JM,"$1,300,000",Mexquitic De Carmona,Puerto De Providencia,,100 mÂ²,,,,,,,,,,2,1,,1 aÃ±os,,,,,,,,,,,,
