ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote
1375891699,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1375891699-terreno-en-venta-en-parque-chiapas-_JM,"$1,610,000",San AndrÃ©s Cholula,Lomas de AngelÃ³polis,230 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1317009027,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1317009027-terreno-comercial-en-venta-col-buena-vista-_JM,"$600,000",Comitán De Domínguez,Barrio San Vicente Buena Vista,1200 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1314189166,chiapas,se,https://terreno.metroscubicos.com/MLM-1314189166-se-vende-5904-m2-de-terreno-dentro-de-la-ciudad-san-cristo-_JM,"$3,000",San CristÃ³bal De Las Casas,La CaÃ±ada,5904 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
936380465,chiapas,terreno,https://terreno.metroscubicos.com/MLM-936380465-terreno-en-venta-plan-de-ayala-_JM,"$6,500,000",Tuxtla GutiÃ©rrez,Plan De Ayala,2600 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
936377455,chiapas,terreno,https://terreno.metroscubicos.com/MLM-936377455-terreno-en-venta-talisman-_JM,"$5,126,000",Tuxtla Chico,TalismÃ¡n,25630 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390384459,chiapas,lote,https://terreno.metroscubicos.com/MLM-1390384459-lote-de-terreno-en-venta-en-fraccionamiento-el-diamante-muy-cerca-de-plaza-crystal-_JM,"$580,000",Tuxtla Gutiérrez,Fraccionamiento Bicentenario,115 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1379479086,chiapas,se,https://terreno.metroscubicos.com/MLM-1379479086-se-vende-terreno-de-1-hect-por-el-club-campestre-atras-del-conalep-_JM,"$10,000,000",Tuxtla GutiÃ©rrez,Campestre Arenal,1 ha,,,,,,,,,,,,,,,,,,Tierra,61 m,164 m,,Irregular,,,
1308586599,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1308586599-terreno-en-venta-laguitos-_JM,"$895,000",Tuxtla Gutiérrez,Borges Laguitos,144 m²,,,,,,,,,,,,,,,,,,-,,,,,,,
1390384422,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1390384422-terreno-en-venta-en-exclusivo-fraccionamiento-campestre-quinta-san-francisco-san-cristobal-de-las-casas-_JM,"$14,000,000",San CristÃ³bal De Las Casas,Fraccionamiento Santa Clara,4000 mÂ²,,,,,,,,,,,,,,,,,,-,,,,,,,
1389603545,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1389603545-terreno-rustico-en-venta-en-la-localidad-el-manzanillo-_JM,"$1,750,000",San Cristóbal De Las Casas,San Felipe Ecatepec,1160000 m²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1387498887,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1387498887-terreno-en-venta-en-zona-urbana-el-jobo-tuxtla-gutierrez-_JM,"$650,000",Tuxtla GutiÃ©rrez,El Jobo,540 mÂ²,,,,,,,0 MXN,,,,,,,,,,,Ripio,13 m,40 m,Perimetral,Plano,,,
1326013386,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1326013386-terreno-comercial-zona-audi-28566-m2-san-jose-chiapa-puebla-_JM,"$42,850,065",San JosÃ© Chiapa,San JosÃ© De Chiapa,28566 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1314234533,chiapas,terreno,https://terreno.metroscubicos.com/MLM-1314234533-terreno-en-venta-de-495-m2-en-viva-cardenas-san-fernando-c-_JM,"$550,000",San Fernando,Viva CÃ¡rdenas,495 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
1314195539,chiapas,una,https://terreno.metroscubicos.com/MLM-1314195539-una-hectarea-de-terreno-en-venta-sobre-la-autopista-tuxtla-g-_JM,"$2,200,000",Chiapa De Corzo,Nandambua 1a SecciÃ³n,10000 mÂ²,,,,,,,,,,,,,,,,,,Otro,,,,,,,
