tipo,precio,predPrices,diffPrices,percentDiff,m2Terreno,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
terrenos,1150000.0,160000.0,-990000.0,-86.08695652173914,500.0,San Benito,Dzemul,Yucatán,97864.0,20.3959331512451,-89.547477722168
terrenos,3585800.0,3150000.0,-435800.0,-12.153494338780746,717.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,3460.0,20000.0,16540.0,478.0346820809249,322.0,Santa Gertrudis Copo,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1346588.0,170000.0,-1176588.0,-87.37550015297924,360.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,1611792.0,1020000.0,-591792.0,-36.71640013103428,327.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1611792.0,1020000.0,-591792.0,-36.71640013103428,327.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1611792.0,1020000.0,-591792.0,-36.71640013103428,327.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,352450.0,320000.0,-32450.0,-9.206979713434526,133.0,Flamboyanes,Progreso,Yucatán,97784.0,20.6903057098389,-88.2164764404297
terrenos,67912.0,100000.0,32088.0,47.249381552597484,339.0,Dzidzantun,Yucatán,Yucatán,,,
terrenos,568107.0,500000.0,-68107.0,-11.988410633912272,320.0,Dzitya,Mérida,Yucatán,,,
terrenos,1305000.0,180000.0,-1125000.0,-86.20689655172413,298.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,899883.0,930000.0,30117.0,3.3467684132270525,756.0,San Ignacio,Progreso,Yucatán,97370.0,20.932653427124,-89.5554580688477
terrenos,899883.0,930000.0,30117.0,3.3467684132270525,756.0,San Ignacio,Progreso,Yucatán,97334.0,21.1602630615234,-89.6541976928711
terrenos,899883.0,930000.0,30117.0,3.3467684132270525,756.0,San Ignacio,Progreso,Yucatán,97948.0,20.2135601043701,-88.8765029907227
terrenos,899883.0,930000.0,30117.0,3.3467684132270525,756.0,San Ignacio,Progreso,Yucatán,97970.0,20.2041168212891,-89.2905044555664
terrenos,1117086.0,730000.0,-387086.0,-34.6514055318928,277.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1117086.0,730000.0,-387086.0,-34.6514055318928,277.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1117086.0,730000.0,-387086.0,-34.6514055318928,277.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,624990.0,210000.0,-414990.0,-66.39946239139827,416.0,Kikteil,Mérida,Yucatán,97303.0,21.1296768188477,-89.6934967041016
terrenos,190.0,10000.0,9810.0,5163.157894736842,300.0,Xmatcuil,Mérida,Yucatán,,,
terrenos,233820.0,260000.0,26180.0,11.19664699341374,180.0,Telchac Puerto,Yucatán,Yucatán,97407.0,21.3445224761963,-89.2537536621094
terrenos,1683000.0,310000.0,-1373000.0,-81.5805109922757,375.0,Dzibichaltun,Mérida,Yucatán,,,
terrenos,2600.0,30000.0,27400.0,1053.8461538461538,479.0,Dzitya,Mérida,Yucatán,,,
terrenos,308000.0,280000.0,-28000.0,-9.090909090909093,140.0,Hunucma,Hunucma,Yucatán,,,
terrenos,595608.0,740000.0,144392.0,24.24279056023424,25896.0,Caucel,Mérida,Yucatán,97314.0,21.0097370147705,-89.6907119750977
terrenos,2000.0,50000.0,48000.0,2400.0,160.0,Telchac Puerto,Telchac Puerto,Yucatán,97407.0,21.3445224761963,-89.2537536621094
terrenos,1201600.0,910000.0,-291600.0,-24.267643142476704,480.0,Hunucma,Hunucma,Yucatán,,,
terrenos,262973.0,590000.0,327027.0,124.35763367341895,263.0,Ixil,Ixil,Yucatán,97343.0,21.1540184020996,-89.481819152832
terrenos,3019350.0,620000.0,-2399350.0,-79.46577905840661,603.0,Chablekal,Yucatán,Yucatán,97302.0,21.0626258850098,-89.612434387207
terrenos,1297566.0,1250000.0,-47566.0,-3.6657865572926496,720.0,San Ignacio,Progreso,Yucatán,97370.0,20.932653427124,-89.5554580688477
terrenos,1297566.0,1250000.0,-47566.0,-3.6657865572926496,720.0,San Ignacio,Progreso,Yucatán,97334.0,21.1602630615234,-89.6541976928711
terrenos,1297566.0,1250000.0,-47566.0,-3.6657865572926496,720.0,San Ignacio,Progreso,Yucatán,97948.0,20.2135601043701,-88.8765029907227
terrenos,1297566.0,1250000.0,-47566.0,-3.6657865572926496,720.0,San Ignacio,Progreso,Yucatán,97970.0,20.2041168212891,-89.2905044555664
terrenos,129500.0,140000.0,10500.0,8.108108108108114,342.0,Yaxcaba,Yaxcaba,Yucatán,97804.0,20.6087226867676,-90.0882263183594
terrenos,129500.0,140000.0,10500.0,8.108108108108114,342.0,Yaxcaba,Yaxcaba,Yucatán,97920.0,20.5486450195313,-88.8268737792969
terrenos,850.0,20000.0,19150.0,2252.9411764705883,5563.0,Dzibichaltun,Mérida,Yucatán,,,
